Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),636,766
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,377,677
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),864,1156
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1216,1315
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1334,1460
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,600,617
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,924,994
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1495,1499
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1465,1525
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,983,1055
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1531,1531
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,167,370
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),780,780
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,448,525
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),876,876
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,712,907
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1335,1335
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1190,1366
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1022,1129
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1769,1769
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,832,832
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,488,488
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,541,906
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1311,1311
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,181,472
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),786,786
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,837,851
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),1151,1151
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1324,1342
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1631,1631
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,24,261
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),157,345
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,4,26
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),84,87
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,47,48
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),250,250
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1668,1668
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,40,107
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),220,310
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,75,152
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),326,326
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,521,656
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1152,1152
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,214,222
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1116,1116
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,454,652
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1186,1186
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,768,884
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1338,1338
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,6,97
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),253,253
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,30,100
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,239,341
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),969,969
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,702,836
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1101,1101
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,813,948
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1641,1641
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,933,985
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1518,1518
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,633,842
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1321,1321
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,102,155
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),387,387
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,379,492
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),912,912
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1248,1248
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,314,360
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1107,1107
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,648,804
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1254,1254
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1082,1242
