Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,201,336
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),859,1086
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,580,917
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1515,1782
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1494,1847
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2826,2826
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2056,2271
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3895,3895
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,529,614
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1303,1303
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,898,1006
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2405,2405
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2230,2242
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3890,3890
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2420,2515
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),4218,4218
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2022,2221
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3378,3378
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,369,527
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1012,1042
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,524,722
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1287,1287
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,973,1134
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2383,2383
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1894,2064
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3646,3646
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1354,1672
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3012,3012
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1360,1360
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,556,556
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,868,868
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,879,995
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2038,2038
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,470,555
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),870,1069
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,669,746
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),2061,2061
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1335,1503
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,577,775
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1296,1704
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,22,34
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),133,148
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,49,77
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),164,164
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1746,4524
